date,pfizer,moderna,astrazeneca
2020-12-28,0,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,1719,0,0
2021-01-01,2889,0,0
2021-01-02,131,0,0
2021-01-03,0,0,0
2021-01-04,0,0,0
2021-01-05,0,0,0
2021-01-06,709,0,0
2021-01-07,2465,0,0
2021-01-08,3204,0,0
2021-01-09,2238,0,0
2021-01-10,118,0,0
2021-01-11,0,0,0
2021-01-12,688,0,0
2021-01-13,1619,0,0
2021-01-14,1258,0,0
2021-01-15,598,50,0
2021-01-16,210,230,0
2021-01-17,6,200,0
2021-01-18,121,0,0
2021-01-19,1083,102,0
2021-01-20,2518,70,0
2021-01-21,1821,80,0
2021-01-22,1091,33,0
2021-01-23,783,67,0
2021-01-24,18,0,0
2021-01-25,24,0,0
2021-01-26,584,71,0
2021-01-27,2272,52,0
2021-01-28,3764,31,0
2021-01-29,4696,23,0
2021-01-30,3137,32,0
2021-01-31,214,1,0
2021-02-01,105,0,0
2021-02-02,1438,71,0
2021-02-03,3254,29,0
2021-02-04,3825,382,0
2021-02-05,3529,372,0
